Last login: Sun Aug  5 00:47:17 on ttys000
Quinns-MacBook-Air:~ DrQ$ cd ~/Documents/sports
Quinns-MacBook-Air:sports DrQ$ python fb_play_scraper.py
RomoTo00 2010 passer 4
RomoTo00 2010 passer 8
RomoTo00 2010 passer 9
RomoTo00 2010 passer 10
RomoTo00 2010 passer 11
RomoTo00 2010 passer 12
RomoTo00 2010 passer 13
RomoTo00 2010 passer 14
RomoTo00 2010 passer 15
RomoTo00 2010 passer 16
RomoTo00 2010 passer 17
RomoTo00 2010 passer 18
RomoTo00 2010 passer 19
RomoTo00 2010 passer 20
RomoTo00 2010 passer 21
KolbKe00 2010 passer 2
KolbKe00 2010 passer 3
KolbKe00 2010 passer 8
KolbKe00 2010 passer 9
KolbKe00 2010 passer 10
KolbKe00 2010 passer 11
KolbKe00 2010 passer 12
KolbKe00 2010 passer 13
KolbKe00 2010 passer 14
KolbKe00 2010 passer 15
KolbKe00 2010 passer 16
KolbKe00 2010 passer 18
KolbKe00 2010 passer 19
KolbKe00 2010 passer 20
KolbKe00 2010 passer 21
GradBr00 2010 passer 1
GradBr00 2010 passer 6
GradBr00 2010 passer 7
GradBr00 2010 passer 8
GradBr00 2010 passer 9
GradBr00 2010 passer 10
GradBr00 2010 passer 13
GradBr00 2010 passer 14
GradBr00 2010 passer 15
GradBr00 2010 passer 16
GradBr00 2010 passer 17
GradBr00 2010 passer 18
GradBr00 2010 passer 19
GradBr00 2010 passer 20
GradBr00 2010 passer 21
YounVi00 2010 passer 7
YounVi00 2010 passer 9
YounVi00 2010 passer 12
YounVi00 2010 passer 13
YounVi00 2010 passer 14
YounVi00 2010 passer 15
YounVi00 2010 passer 16
YounVi00 2010 passer 17
YounVi00 2010 passer 18
YounVi00 2010 passer 19
YounVi00 2010 passer 20
YounVi00 2010 passer 21
DelhJa00 2010 passer 2
DelhJa00 2010 passer 3
DelhJa00 2010 passer 4
DelhJa00 2010 passer 6
DelhJa00 2010 passer 7
DelhJa00 2010 passer 8
DelhJa00 2010 passer 9
DelhJa00 2010 passer 10
DelhJa00 2010 passer 11
DelhJa00 2010 passer 15
DelhJa00 2010 passer 16
DelhJa00 2010 passer 17
DelhJa00 2010 passer 18
DelhJa00 2010 passer 19
DelhJa00 2010 passer 20
DelhJa00 2010 passer 21
SmitTr02 2010 passer 1
SmitTr02 2010 passer 2
SmitTr02 2010 passer 3
SmitTr02 2010 passer 4
SmitTr02 2010 passer 5
SmitTr02 2010 passer 6
SmitTr02 2010 passer 7
SmitTr02 2010 passer 9
SmitTr02 2010 passer 10
SmitTr02 2010 passer 14
SmitTr02 2010 passer 15
SmitTr02 2010 passer 17
SmitTr02 2010 passer 18
SmitTr02 2010 passer 19
SmitTr02 2010 passer 20
SmitTr02 2010 passer 21
MoorMa01 2010 passer 3
MoorMa01 2010 passer 4
MoorMa01 2010 passer 6
MoorMa01 2010 passer 10
MoorMa01 2010 passer 11
MoorMa01 2010 passer 12
MoorMa01 2010 passer 13
MoorMa01 2010 passer 14
MoorMa01 2010 passer 15
MoorMa01 2010 passer 16
MoorMa01 2010 passer 17
MoorMa01 2010 passer 18
MoorMa01 2010 passer 19
MoorMa01 2010 passer 20
MoorMa01 2010 passer 21
GrosRe00 2010 passer 1
GrosRe00 2010 passer 2
GrosRe00 2010 passer 3
GrosRe00 2010 passer 4
GrosRe00 2010 passer 5
GrosRe00 2010 passer 6
GrosRe00 2010 passer 7
GrosRe00 2010 passer 9
GrosRe00 2010 passer 10
GrosRe00 2010 passer 11
GrosRe00 2010 passer 12
GrosRe00 2010 passer 13
GrosRe00 2010 passer 14
GrosRe00 2010 passer 18
GrosRe00 2010 passer 19
GrosRe00 2010 passer 20
GrosRe00 2010 passer 21
SkelJo00 2010 passer 1
SkelJo00 2010 passer 2
SkelJo00 2010 passer 3
SkelJo00 2010 passer 4
SkelJo00 2010 passer 5
SkelJo00 2010 passer 6
SkelJo00 2010 passer 7
SkelJo00 2010 passer 8
SkelJo00 2010 passer 9
SkelJo00 2010 passer 10
SkelJo00 2010 passer 11
SkelJo00 2010 passer 12
SkelJo00 2010 passer 18
SkelJo00 2010 passer 19
SkelJo00 2010 passer 20
SkelJo00 2010 passer 21
StanDr00 2010 passer 1
StanDr00 2010 passer 2
StanDr00 2010 passer 3
StanDr00 2010 passer 4
StanDr00 2010 passer 7
StanDr00 2010 passer 8
StanDr00 2010 passer 10
StanDr00 2010 passer 11
StanDr00 2010 passer 12
StanDr00 2010 passer 16
StanDr00 2010 passer 17
StanDr00 2010 passer 18
StanDr00 2010 passer 19
StanDr00 2010 passer 20
StanDr00 2010 passer 21
EdwaTr01 2010 passer 3
EdwaTr01 2010 passer 4
EdwaTr01 2010 passer 5
EdwaTr01 2010 passer 7
EdwaTr01 2010 passer 8
EdwaTr01 2010 passer 9
EdwaTr01 2010 passer 10
EdwaTr01 2010 passer 11
EdwaTr01 2010 passer 12
EdwaTr01 2010 passer 13
EdwaTr01 2010 passer 14
EdwaTr01 2010 passer 15
EdwaTr01 2010 passer 16
EdwaTr01 2010 passer 18
EdwaTr01 2010 passer 19
EdwaTr01 2010 passer 20
EdwaTr01 2010 passer 21
WallSe00 2010 passer 1
WallSe00 2010 passer 6
WallSe00 2010 passer 7
WallSe00 2010 passer 8
WallSe00 2010 passer 9
WallSe00 2010 passer 10
WallSe00 2010 passer 11
WallSe00 2010 passer 12
WallSe00 2010 passer 13
WallSe00 2010 passer 14
WallSe00 2010 passer 15
WallSe00 2010 passer 16
WallSe00 2010 passer 18
WallSe00 2010 passer 19
WallSe00 2010 passer 20
WallSe00 2010 passer 21
WhitCh02 2010 passer 1
WhitCh02 2010 passer 2
WhitCh02 2010 passer 3
WhitCh02 2010 passer 4
WhitCh02 2010 passer 5
WhitCh02 2010 passer 6
WhitCh02 2010 passer 7
WhitCh02 2010 passer 8
WhitCh02 2010 passer 11
WhitCh02 2010 passer 12
WhitCh02 2010 passer 13
WhitCh02 2010 passer 14
WhitCh02 2010 passer 18
WhitCh02 2010 passer 19
WhitCh02 2010 passer 20
WhitCh02 2010 passer 21
StafMa00 2010 passer 2
StafMa00 2010 passer 3
StafMa00 2010 passer 4
StafMa00 2010 passer 5
StafMa00 2010 passer 6
StafMa00 2010 passer 7
StafMa00 2010 passer 10
StafMa00 2010 passer 11
StafMa00 2010 passer 12
StafMa00 2010 passer 13
StafMa00 2010 passer 14
StafMa00 2010 passer 15
StafMa00 2010 passer 16
StafMa00 2010 passer 17
StafMa00 2010 passer 18
StafMa00 2010 passer 19
StafMa00 2010 passer 20
StafMa00 2010 passer 21
WebbJo00 2010 passer 1
WebbJo00 2010 passer 2
WebbJo00 2010 passer 3
WebbJo00 2010 passer 4
WebbJo00 2010 passer 5
WebbJo00 2010 passer 6
WebbJo00 2010 passer 7
WebbJo00 2010 passer 8
WebbJo00 2010 passer 9
WebbJo00 2010 passer 10
WebbJo00 2010 passer 11
WebbJo00 2010 passer 12
WebbJo00 2010 passer 13
WebbJo00 2010 passer 18
WebbJo00 2010 passer 19
WebbJo00 2010 passer 20
WebbJo00 2010 passer 21
TeboTi00 2010 passer 1
TeboTi00 2010 passer 2
TeboTi00 2010 passer 3
TeboTi00 2010 passer 4
TeboTi00 2010 passer 5
TeboTi00 2010 passer 6
TeboTi00 2010 passer 7
TeboTi00 2010 passer 8
TeboTi00 2010 passer 9
TeboTi00 2010 passer 11
TeboTi00 2010 passer 12
TeboTi00 2010 passer 13
TeboTi00 2010 passer 14
TeboTi00 2010 passer 18
TeboTi00 2010 passer 19
TeboTi00 2010 passer 20
TeboTi00 2010 passer 21
HallMa00 2010 passer 1
HallMa00 2010 passer 3
HallMa00 2010 passer 6
HallMa00 2010 passer 9
HallMa00 2010 passer 10
HallMa00 2010 passer 11
HallMa00 2010 passer 12
HallMa00 2010 passer 14
HallMa00 2010 passer 15
HallMa00 2010 passer 16
HallMa00 2010 passer 17
HallMa00 2010 passer 18
HallMa00 2010 passer 19
HallMa00 2010 passer 20
HallMa00 2010 passer 21
FlynMa00 2010 passer 1
FlynMa00 2010 passer 2
FlynMa00 2010 passer 3
FlynMa00 2010 passer 4
FlynMa00 2010 passer 5
FlynMa00 2010 passer 6
FlynMa00 2010 passer 8
FlynMa00 2010 passer 10
FlynMa00 2010 passer 12
FlynMa00 2010 passer 13
FlynMa00 2010 passer 16
FlynMa00 2010 passer 17
FlynMa00 2010 passer 18
FlynMa00 2010 passer 19
FlynMa00 2010 passer 20
FlynMa00 2010 passer 21
ThigTy00 2010 passer 1
ThigTy00 2010 passer 2
ThigTy00 2010 passer 3
ThigTy00 2010 passer 5
ThigTy00 2010 passer 6
ThigTy00 2010 passer 7
ThigTy00 2010 passer 8
ThigTy00 2010 passer 9
ThigTy00 2010 passer 12
ThigTy00 2010 passer 13
ThigTy00 2010 passer 14
ThigTy00 2010 passer 15
ThigTy00 2010 passer 16
ThigTy00 2010 passer 18
ThigTy00 2010 passer 19
ThigTy00 2010 passer 20
ThigTy00 2010 passer 21
JackTa00 2010 passer 1
JackTa00 2010 passer 2
JackTa00 2010 passer 3
JackTa00 2010 passer 4
JackTa00 2010 passer 5
JackTa00 2010 passer 6
